name,manufacturer,mrpDecimal,salePriceDecimal,discountPercent,totalRating,avgRating,maxQuantity,minQuantity,isAvailable
Everherb Karela Jamun Juice - Helps Maintains Healthy Sugar Levels -Helps In Weight Management - 1l,EVERHERB,399.00,207.48,48,1480,4,20,1,True
Pharmeasy Fish Oil 1000mg Soft Gelatin 60 Capsules,PHARMEASY,399.00,279.30,30,2,4,20,1,True
Everherb Diabetic Care Juice-13 Potent Herbs - Healthy Blood Sugar Management - 1 Litre Bottle,EVERHERB,599.00,311.48,48,916,4,20,1,True
Pharmeasy Pill Box Organizer,PHARMEASY,499.00,254.49,49,724,3,20,1,True
Everherb (By Pharmeasy) Aloe Vera Juice With Pulp - Rejuvenates Skin & Hair - 1 Litre Bottle,EVERHERB,399.00,195.51,51,658,4,20,1,True
Liveasy Wellness Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60 Tabs,LIVEASY,599.00,365.39,39,485,4,20,1,True
Everherb (By Pharmeasy) Amla Juice-Rich In Vitamin C-Natural Immunity Booster - 1 Litre Bottle,EVERHERB,399.00,199.50,50,462,4,20,1,True
Pharmeasy Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 60,PHARMEASY,499.00,279.44,44,202,4,20,1,True
Liveasy Wellness Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,LIVEASY,699.00,384.45,45,404,4,20,1,True
Everherb (By Pharmeasy) Pain Relief Oil - Blend Of 8 Powerful Herbal Ingredients - 100 Ml,EVERHERB,399.00,195.51,51,359,3,20,1,True
Everherb (By Pharmeasy) Ashwagandha-Immunity Booster Capsules-Anxiety & Stress Relief-Bottle Of 60,EVERHERB,599.00,299.50,50,355,3,20,1,True
Everherb (By Pharmeasy) Flaxseed Omega 3 - Essential Fatty Acids - Healthy Heart - Bottle Of 60,EVERHERB,799.00,391.51,51,210,4,20,1,True
Everherb Giloy Tulsi Juice - Strengthens Body Defence System - Natural Immunity Booster - 1 Litre,EVERHERB,399.00,195.51,51,324,4,20,1,True
Liveasy Foods Healthy Roasted Seed Mix - Blend Of 6 Fibre Rich Healthy Roasted Seeds - 200 Gms,LIVEASY,399.00,199.50,50,235,4,20,1,True
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 60,PHARMEASY,699.00,384.45,45,146,3,20,1,True
"Pharmeasy Iron+Folic Acid With Zinc, Vitamin C &B12 - Maintains Overall Health - Bottle Of 60",PHARMEASY,599.00,299.50,50,34,4,20,1,True
Liveasy Foods Healthy Seed Mix - Blend Of 6 Fibre Rich Healthy Seeds - 200 Gms,LIVEASY,349.00,174.50,50,353,4,20,1,True
Everherb (By Pharmeasy) Shilajit 500mg-Vigour Improvement-Strength & Stamina For Men-Bottle Of 60,EVERHERB,999.00,509.49,49,283,3,20,1,True
"Pharmeasy Biotin 10000mcg - For Hair, Skin & Nails - Bottle Of 60",PHARMEASY,699.00,384.45,45,62,3,20,1,True
Liveasy Wellness Diabetic Protein - Blood Sugar & Weight Management -French Vanilla 400g Jar,LIVEASY,999.00,539.46,46,395,4,20,1,True
Everherb Pharmeasy Moringa (Drum Stick) Immunity Booster Capsules Natural Multivitamin Bottle Of 60,EVERHERB,599.00,275.54,54,158,3,20,1,True
Liveasy Wellness Pain Relief Balm 45gm,LIVEASY,115.00,109.25,5,89,4,20,1,True
Liveasy Essentials Adhesive Bandages - Box Of 100,LIVEASY,199.00,169.15,15,36,4,20,1,True
Everherb (By Pharmeasy) Ashwagandha-Immunity Booster Capsules-Anxiety & Stress Relief - Bottle Of 90,EVERHERB,799.00,407.49,49,100,4,20,1,True
Liveasy Wellness Anti Fungal Dusting Powder 100gm,LIVEASY,90.00,83.70,7,52,3,20,1,True
Everherb (By Pharmeasy) Karela - Blood Sugar Control - Lowers Bad Cholestrol - Bottle Of 60,EVERHERB,599.00,305.49,49,141,4,20,1,True
Everherb (By Pharmeasy) Neem - Immunity Booster - Hair & Skin Detoxifier - Bottle Of 60,EVERHERB,599.00,311.48,48,121,3,20,1,True
Liveasy Essentials Bamboo Cotton Buds - 80 Sticks/160 Swabs,LIVEASY,65.00,61.75,5,139,3,20,1,True
Liveasy Essentials Tongue Cleaner (Pack Of 2),LIVEASY,99.00,94.05,5,122,3,20,1,True
Everherb Diabetic Care Juice-13 Potent Ingredients -Healthy Blood Sugar Management - 500 Ml Bottle,EVERHERB,299.00,149.50,50,5,2,20,1,True
Pharmeasy Joint Support - Maintains Joints Mobility - Bone & Joint Health - Bottle Of 60,PHARMEASY,799.00,399.50,50,41,3,20,1,True
Liveasy Wellness Pain Relief Gel Tube Of 30 G,LIVEASY,99.00,94.05,5,39,3,20,1,True
Liveasy Essentials Cleansing Aloe Vera Refreshing Lime Facial Wipes 20'S,LIVEASY,69.00,62.10,10,24,4,20,1,True
Liveasy Essentials Pill Box,LIVEASY,399.00,279.30,30,175,3,20,1,True
Pharmeasy Multivitamin Women - Overall Women Wellness - Builds Immunity - Bottle Of 60,PHARMEASY,799.00,407.49,49,19,4,20,1,True
Everherb (By Pharmeasy) Men'S Formula-Blend Of Powerful Herb-Increase Sperm Count-Bottle Of 60,EVERHERB,999.00,499.50,50,165,3,20,1,True
Liveasy Wellness Diabetic Protein Powder Chocolate Flavour 400g,LIVEASY,999.00,539.46,46,120,4,20,1,True
Pharmeasy Orthopaedic Electric Heat Belt Regular,PHARMEASY,949.00,569.40,40,83,3,20,1,True
Pharmeasy Calcium Magnesium Vitamin D3 & Zinc - Bones & Dental Health - Bottle 120,PHARMEASY,899.00,539.40,40,68,4,20,1,True
Pharmeasy Multivitamin Gummies For Kids And Adults Lemon & Strawberry Flavour Bottle Of 30 Gummies,PHARMEASY,499.00,249.50,50,45,4,20,1,True
Everherb (By Pharmeasy) Diabetic Care - Bottle Of 60,EVERHERB,999.00,509.49,49,163,4,20,1,True
Pharmeasy Vitamin D3 - Supports Bone Health - Helps In Absorption Of Calcium - Bottle Of 60,PHARMEASY,649.00,343.97,47,22,4,20,1,True
Pharmeasy Vitamin C (990mg) With Zinc (10mg) - Powerful Immunity Booster - 60 Veg Tablets,PHARMEASY,799.00,439.45,45,6,4,20,1,True
Pharmeasy Vitamin E - Helps Reverse Skin Ageing - Maintains Heart Eye & Brain Health - Bottle Of 60,PHARMEASY,699.00,377.46,46,14,4,20,1,True
Pharmeasy Glutathione - Promotes Healthy Skin - Reverses Signs Of Ageing - Bottle Of 30,PHARMEASY,1399.00,769.45,45,28,3,20,1,True
Everherb (By Pharmeasy) Amla - Immunity Booster Capsules - Natural Vitamin C - Bottle Of 60,EVERHERB,599.00,251.58,58,105,3,20,1,True
Liveasy Essentials Nail Cutter,LIVEASY,115.00,109.25,5,66,4,20,1,True
Pharmeasy Orthopaedic Electric Heat Belt - Extra Large,PHARMEASY,1099.00,659.40,40,80,3,20,1,True
Pharmeasy Vitamin B Complex With Folic Acid - Improves Energy - Heart & Eye Health - Bottle Of 60,PHARMEASY,649.00,356.95,45,15,3,20,1,True
Pharmeasy Lumbar Sacro Support Belt- Back Pain Relief And Sacral Support,PHARMEASY,799.00,719.10,10,75,3,20,1,True
Pharmeasy Hot Water Bag - Relieves Pain - Relaxes Sore Muscles - Improves Blood Supply - Red - 2l,PHARMEASY,349.00,209.40,40,86,3,20,1,True
Liveasy Wellness Diabetic Protein Powder French Vanilla Flavour 1000g,LIVEASY,2199.00,1187.46,46,156,4,20,1,True
Liveasy Essentials Waterproof Bandages - Jar Of 100,LIVEASY,249.00,236.55,5,18,4,20,1,True
Liveasy Ortho Care Cotton Crepe Bandage - Reduces Strain Sprain & Swelling - 10 Cms X 4 Meters,LIVEASY,225.00,191.25,15,51,4,20,1,True
Everherb (By Pharmeasy) Fat Burner|Natural Herbal Blend|Accelerates Calorie Burning - 60 (Non Veg),EVERHERB,799.00,415.48,48,96,3,20,1,True
Pharmeasy Multivitamin 50+ - With Brain And Joint Health Blend - Bottle Of 60,PHARMEASY,799.00,407.49,49,23,4,20,1,True
Pharmeasy Multivitamin Multimineral - Immunity Booster - Complete Nutrition - Bottle Of 120,PHARMEASY,1299.00,675.48,48,63,4,20,1,True
Liveasy Wellness Mosquito Repellent Cream With Vitamin E And Almond Oil Tube Of 50gm,LIVEASY,50.00,47.50,5,23,4,20,1,True
Everherb (By Pharmeasy) Jointcare-Blend Of 9 Powerful Herbs-Joint & Bone Health-Bottle Of 60 Tablets,EVERHERB,999.00,519.48,48,84,4,20,1,True
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 10,LIVEASY,599.00,347.42,42,62,4,20,1,True
Pharmeasy Abdominal Binder / Waist Trimmer 8 - Supports Back - Gives Slimmer Look - Universal,PHARMEASY,649.00,350.46,46,29,3,20,1,True
Liveasy Ortho Care Cotton Crepe Bandage - Reduces Strain Sprain & Swelling - 8 Cms X 4 Meters,LIVEASY,180.00,153.00,15,36,3,20,1,True
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 9,LIVEASY,599.00,347.42,42,72,4,20,1,True
Liveasy Ortho Care Knee Cap (Pair) - Modern Orthopedic Solution - Medium,LIVEASY,329.00,279.65,15,60,3,20,1,True
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 7,LIVEASY,599.00,347.42,42,61,4,20,1,True
Liveasy Foods Raw Chia Seeds - Superfood Loaded With Nutrients - Rich In Proteins - 200 Grams,LIVEASY,249.00,169.32,32,18,4,20,1,True
Pharmeasy Hot Water Bag - Relieves Pain - Relaxes Sore Muscles - Improves Blood Supply - Green - 2l,PHARMEASY,349.00,209.40,40,11,3,20,1,True
Liveasy Ortho Care Reusable Hot And Cold Gel Pack,LIVEASY,349.00,296.65,15,59,2,20,1,True
Liveasy Ortho Care Knee Cap (Pair) - Modern Orthopedic Solution - Large,LIVEASY,329.00,279.65,15,34,3,20,1,True
Liveasy Ortho Care Cotton Crepe Bandage - Reduces Strain Sprain & Swelling - 6 Cms X 4 Meters,LIVEASY,155.00,131.75,15,4,4,20,1,True
Pharmeasy Diabetic & Orthopedic Slippers -Men Blue- Size Uk-07,PHARMEASY,1049.00,524.50,50,Not Available,Not Available,20,1,True
Pharmeasy Knee Cap (Pair) - Protects Knee Joints - Reduces Risk Of Injuries - Black - Medium,PHARMEASY,325.00,162.50,50,10,4,20,1,True
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 6,LIVEASY,599.00,347.42,42,40,4,20,1,True
Pharmeasy Wrist Brace - Supports Wrist Joint And Relieves Pain - Universal Size,PHARMEASY,299.00,149.50,50,26,3,20,1,True
Liveasy Hygiene Itch Protect + With Ultra Cooling Menthol Tube Of 20gm Cream,LIVEASY,69.00,48.30,30,5,2,20,1,True
Liveasy Ortho Care Acupressure Slippers - Women (Black) Size 7,LIVEASY,599.00,347.42,42,23,3,20,1,True
Liveasy Ortho Care Acupressure Slippers - Women (Black) Size 8,LIVEASY,599.00,347.42,42,21,3,20,1,True
Liveasy Ortho Care Acupressure Slippers - Women (Black) Size 6,LIVEASY,599.00,347.42,42,21,3,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Red - Size Uk 7 / Us 10,LIVEASY,999.00,519.48,48,64,3,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Olive Green - Size Uk 6 / Us 9,LIVEASY,999.00,519.48,48,33,3,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Brown - Size Uk 7 / Us 10,LIVEASY,999.00,519.48,48,41,4,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Red - Size Uk 6 / Us 9,LIVEASY,999.00,519.48,48,45,3,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Olive Green - Size Uk 7 / Us 10,LIVEASY,999.00,519.48,48,28,3,20,1,True
Pharmeasy Donut Seat For Piles - 100% Memory Foam - Anti-Skid Bottom With Removable & Washable Cover,PHARMEASY,1799.00,1439.20,20,9,3,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Olive Green - Size Uk 5 / Us 8,LIVEASY,999.00,519.48,48,27,3,20,1,True
Liveasy Essentials Men'S Diabetic & Orthopedic Slippers - Brown - Size Uk 8 / Us 9,LIVEASY,999.00,519.48,48,37,4,20,1,True
Liveasy Essentials Men'S Diabetic & Orthopedic Slippers - Blue - Size Uk 8 / Us 9,LIVEASY,999.00,519.48,48,73,3,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Brown - Size Uk 6 / Us 9,LIVEASY,999.00,519.48,48,56,3,20,1,True
"Pharmeasy Diabetic Protein Powder, Chocolate Flavour 400g",PHARMEASY,999.00,519.48,48,2,4,20,1,True
Liveasy Essentials Men'S Diabetic & Orthopedic Slippers - Blue - Size Uk 10 / Us 11,LIVEASY,999.00,519.48,48,46,4,20,1,True
Liveasy Essentials Men'S Diabetic & Orthopedic Slippers - Blue - Size Uk 9 / Us 10,LIVEASY,999.00,519.48,48,51,4,20,1,True
Pharmeasy Coccyx Cushion For Tail Bone Support - Prevents Pain & Stiffness - For Upto 80 Kgs Weight,PHARMEASY,1799.00,1439.20,20,18,3,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Brown - Size Uk 5 / Us 8,LIVEASY,999.00,519.48,48,41,3,20,1,True
Liveasy Ortho Care Acupressure Slippers - Women (Black) Size 5,LIVEASY,599.00,347.42,42,21,3,20,1,True
Pharmeasy Knee Cap (Pair) - Protects Knee Joints - Reduces Risk Of Injuries - Black - Large,PHARMEASY,325.00,162.50,50,15,4,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Red - Size Uk 5 / Us 8,LIVEASY,999.00,519.48,48,33,4,20,1,True
Liveasy Ortho Care Wrist Brace - Supports Wrist Joint And Relieves Pain - Universal Size,LIVEASY,199.00,169.15,15,34,3,20,1,True
Liveasy Ortho Care Hot Water Bag Relieves Pain - Relaxes Sore Muscles - Blue - 2l,LIVEASY,389.00,330.65,15,82,4,20,1,True
Liveasy Wellness Burns Cream Tube Of 20gm,LIVEASY,80.00,76.00,5,3,4,20,1,True
Liveasy Ortho Care Acupressure Slippers - Women (Black) Size 9,LIVEASY,599.00,347.42,42,25,3,20,1,True
Liveasy Essentials Men'S Diabetic & Orthopedic Slippers - Black - Size Uk 8 / Us 9,LIVEASY,1099.00,571.48,48,52,4,20,1,True
Pharmeasy Smart Memory Foam Back Support - Mesh Fabric,PHARMEASY,1799.00,1439.20,20,9,3,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Brown - Size Uk 9 / Us 12,LIVEASY,999.00,519.48,48,15,3,20,1,True
Liveasy Ortho Care Hot Water Bag Relieves Pain - Relaxes Sore Muscles - Red - 2l,LIVEASY,389.00,330.65,15,38,4,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Olive Green - Size Uk 8 / Us 11,LIVEASY,999.00,519.48,48,11,4,20,1,True
Liveasy Essentials Men'S Diabetic & Orthopedic Slippers - Blue - Size Uk 7 / Us 8,LIVEASY,999.00,519.48,48,34,4,20,1,True
Liveasy Essentials Men'S Diabetic & Orthopedic Slippers - Blue - Size Uk 11 / Us 12,LIVEASY,999.00,519.48,48,13,4,20,1,True
Liveasy Ortho Care Ankle Support - Prevents Swelling - Boosts Performance - Size Medium,LIVEASY,329.00,279.65,15,23,3,20,1,True
Liveasy Essentials Men'S Diabetic & Orthopedic Slippers - Black - Size Uk 10 / Us 11,LIVEASY,999.00,519.48,48,25,4,20,1,True
Liveasy Ortho Care Neck Support -Comfortable Cervical Collar-Medium,LIVEASY,329.00,279.65,15,22,4,20,1,True
Liveasy Ortho Care Cotton Crepe Bandage - Reduces Strain Sprain & Swelling - 15 Cms X 4 Meters,LIVEASY,390.00,331.50,15,5,3,20,1,True
Liveasy Essentials Men'S Diabetic & Orthopedic Slippers - Brown - Size Uk 7 / Us 8,LIVEASY,999.00,519.48,48,14,4,20,1,True
Liveasy Ortho Care Ankle Support - Prevents Swelling - Boosts Performance - Size Large,LIVEASY,329.00,279.65,15,11,4,20,1,True
